location,date,total_cases,total_deaths
Colombia,2022/8/2,16,0
Colombia,2022/8/3,20,0
Colombia,2022/8/4,20,0
Colombia,2022/8/5,20,0
Colombia,2022/8/6,22,0
Colombia,2022/8/7,43,0
Colombia,2022/8/8,44,0
Colombia,2022/8/9,55,0
Colombia,2022/8/10,55,0
Colombia,2022/8/11,55,0
Colombia,2022/8/12,55,0
Colombia,2022/8/13,84,0
Colombia,2022/8/14,84,0
Colombia,2022/8/15,112,0
Colombia,2022/8/16,129,0
Colombia,2022/8/17,129,0
Colombia,2022/8/18,129,0
Colombia,2022/8/19,129,0
Colombia,2022/8/20,164,0
Colombia,2022/8/21,164,0
Colombia,2022/8/22,164,0
Colombia,2022/8/23,273,0
Colombia,2022/8/24,273,0
Colombia,2022/8/25,273,0
Colombia,2022/8/26,273,0
Colombia,2022/8/27,273,0
Colombia,2022/8/28,273,0
Colombia,2022/8/29,273,0
Colombia,2022/8/30,273,0
Colombia,2022/8/31,582,0
Colombia,2022/9/1,582,0
Colombia,2022/9/2,582,0
Colombia,2022/9/3,582,0
Colombia,2022/9/4,582,0
Colombia,2022/9/5,582,0
Colombia,2022/9/6,582,0
Colombia,2022/9/7,938,0
Colombia,2022/9/8,938,0
Colombia,2022/9/9,938,0
Colombia,2022/9/10,938,0
Colombia,2022/9/11,938,0
Colombia,2022/9/12,938,0
Colombia,2022/9/13,938,0
Colombia,2022/9/14,1260,0
Colombia,2022/9/15,1260,0
Colombia,2022/9/16,1260,0
Colombia,2022/9/17,1260,0
Colombia,2022/9/18,1260,0
Colombia,2022/9/19,1260,0
Colombia,2022/9/20,1260,0
Colombia,2022/9/21,1653,0
Colombia,2022/9/22,1653,0
Colombia,2022/9/23,1653,0
Colombia,2022/9/24,1653,0
Colombia,2022/9/25,1653,0
Colombia,2022/9/26,1653,0
Colombia,2022/9/27,1653,0
Colombia,2022/9/28,2042,0
Colombia,2022/9/29,2042,0
Colombia,2022/9/30,2042,0
Colombia,2022/10/1,2042,0
Colombia,2022/10/2,2042,0
Colombia,2022/10/3,2042,0
Colombia,2022/10/4,2042,0
Colombia,2022/10/5,2453,0
Colombia,2022/10/6,2453,0
Colombia,2022/10/7,2453,0
Colombia,2022/10/8,2453,0
Colombia,2022/10/9,2453,0
Colombia,2022/10/10,2453,0
Colombia,2022/10/11,2453,0
Colombia,2022/10/12,2730,0
Colombia,2022/10/13,2730,0
Colombia,2022/10/14,2730,0
Colombia,2022/10/15,2730,0
Colombia,2022/10/16,2730,0
Colombia,2022/10/17,2730,0
Colombia,2022/10/18,2730,0
Colombia,2022/10/19,3110,0
Colombia,2022/10/20,3110,0
Colombia,2022/10/21,3110,0
Colombia,2022/10/22,3110,0
Colombia,2022/10/23,3110,0
Colombia,2022/10/24,3110,0
Colombia,2022/10/25,3110,0
Colombia,2022/10/26,3298,0
Colombia,2022/10/27,3298,0
Colombia,2022/10/28,3298,0
Colombia,2022/10/29,3298,0
Colombia,2022/10/30,3298,0
Colombia,2022/10/31,3298,0
France,2022/5/19,0,0
France,2022/5/20,1,0
France,2022/5/21,1,0
France,2022/5/22,1,0
France,2022/5/23,1,0
France,2022/5/24,3,0
France,2022/5/25,5,0
France,2022/5/26,7,0
France,2022/5/27,7,0
France,2022/5/28,7,0
France,2022/5/29,7,0
France,2022/5/30,16,0
France,2022/5/31,17,0
France,2022/6/1,17,0
France,2022/6/2,33,0
France,2022/6/3,33,0
France,2022/6/4,51,0
France,2022/6/5,51,0
France,2022/6/6,51,0
France,2022/6/7,66,0
France,2022/6/8,66,0
France,2022/6/9,66,0
France,2022/6/10,91,0
France,2022/6/11,91,0
France,2022/6/12,91,0
France,2022/6/13,91,0
France,2022/6/14,125,0
France,2022/6/15,125,0
France,2022/6/16,183,0
France,2022/6/17,183,0
France,2022/6/18,183,0
France,2022/6/19,183,0
France,2022/6/20,183,0
France,2022/6/21,277,0
France,2022/6/22,277,0
France,2022/6/23,330,0
France,2022/6/24,330,0
France,2022/6/25,330,0
France,2022/6/26,330,0
France,2022/6/27,330,0
France,2022/6/28,440,0
France,2022/6/29,440,0
France,2022/6/30,498,0
France,2022/7/1,498,0
France,2022/7/2,498,0
France,2022/7/3,498,0
France,2022/7/4,498,0
France,2022/7/5,577,0
France,2022/7/6,577,0
France,2022/7/7,577,0
France,2022/7/8,577,0
France,2022/7/9,577,0
France,2022/7/10,721,0
France,2022/7/11,721,0
France,2022/7/12,721,0
France,2022/7/13,721,0
France,2022/7/14,912,0
France,2022/7/15,912,0
France,2022/7/16,912,0
France,2022/7/17,912,0
France,2022/7/18,912,0
France,2022/7/19,912,0
France,2022/7/20,912,0
France,2022/7/21,1453,0
France,2022/7/22,1453,0
France,2022/7/23,1453,0
France,2022/7/24,1453,0
France,2022/7/25,1567,0
France,2022/7/26,1567,0
France,2022/7/27,1567,0
France,2022/7/28,1837,0
France,2022/7/29,1837,0
France,2022/7/30,1837,0
France,2022/7/31,1837,0
France,2022/8/1,1955,0
France,2022/8/2,2054,0
France,2022/8/3,2054,0
France,2022/8/4,2239,0
France,2022/8/5,2239,0
France,2022/8/6,2239,0
France,2022/8/7,2239,0
France,2022/8/8,2423,0
France,2022/8/9,2423,0
France,2022/8/10,2423,0
France,2022/8/11,2601,0
France,2022/8/12,2601,0
France,2022/8/13,2601,0
France,2022/8/14,2673,0
France,2022/8/15,2673,0
France,2022/8/16,2673,0
France,2022/8/17,2749,0
France,2022/8/18,2749,0
France,2022/8/19,2889,0
France,2022/8/20,2889,0
France,2022/8/21,2889,0
France,2022/8/22,2889,0
France,2022/8/23,2889,0
France,2022/8/24,2889,0
France,2022/8/25,2889,0
France,2022/8/26,3421,0
France,2022/8/27,3421,0
France,2022/8/28,3421,0
France,2022/8/29,3421,0
France,2022/8/30,3421,0
France,2022/8/31,3547,0
France,2022/9/1,3558,0
France,2022/9/2,3558,0
France,2022/9/3,3558,0
France,2022/9/4,3646,0
France,2022/9/5,3646,0
France,2022/9/6,3646,0
France,2022/9/7,3720,0
France,2022/9/8,3721,0
France,2022/9/9,3721,0
France,2022/9/10,3721,0
France,2022/9/11,3785,0
France,2022/9/12,3785,0
France,2022/9/13,3785,0
France,2022/9/14,3833,0
France,2022/9/15,3833,0
France,2022/9/16,3898,0
France,2022/9/17,3898,0
France,2022/9/18,3898,0
France,2022/9/19,3898,0
France,2022/9/20,3898,0
France,2022/9/21,3943,0
France,2022/9/22,3943,0
France,2022/9/23,3943,0
France,2022/9/24,3943,0
France,2022/9/25,3943,0
France,2022/9/26,3970,0
France,2022/9/27,3970,0
France,2022/9/28,3970,0
France,2022/9/29,3999,0
France,2022/9/30,3999,0
France,2022/10/1,3999,0
France,2022/10/2,3999,0
France,2022/10/3,3999,0
France,2022/10/4,3999,0
France,2022/10/5,3999,0
France,2022/10/6,4043,0
France,2022/10/7,4043,0
France,2022/10/8,4043,0
France,2022/10/9,4043,0
France,2022/10/10,4043,0
France,2022/10/11,4043,0
France,2022/10/12,4043,0
France,2022/10/13,4064,0
France,2022/10/14,4064,0
France,2022/10/15,4064,0
France,2022/10/16,4064,0
France,2022/10/17,4064,0
France,2022/10/18,4064,0
France,2022/10/19,4084,0
France,2022/10/20,4084,0
France,2022/10/21,4084,0
France,2022/10/22,4084,0
France,2022/10/23,4084,0
France,2022/10/24,4084,0
France,2022/10/25,4084,0
France,2022/10/26,4094,0
France,2022/10/27,4094,0
France,2022/10/28,4094,0
France,2022/10/29,4094,0
France,2022/10/30,4094,0
France,2022/10/31,4094,0
Germany,2022/5/20,1,0
Germany,2022/5/21,1,0
Germany,2022/5/22,3,0
Germany,2022/5/23,4,0
Germany,2022/5/24,6,0
Germany,2022/5/25,10,0
Germany,2022/5/26,10,0
Germany,2022/5/27,15,0
Germany,2022/5/28,15,0
Germany,2022/5/29,15,0
Germany,2022/5/30,21,0
Germany,2022/5/31,33,0
Germany,2022/6/1,44,0
Germany,2022/6/2,57,0
Germany,2022/6/3,65,0
Germany,2022/6/4,65,0
Germany,2022/6/5,65,0
Germany,2022/6/6,65,0
Germany,2022/6/7,80,0
Germany,2022/6/8,113,0
Germany,2022/6/9,131,0
Germany,2022/6/10,165,0
Germany,2022/6/11,165,0
Germany,2022/6/12,165,0
Germany,2022/6/13,189,0
Germany,2022/6/14,229,0
Germany,2022/6/15,263,0
Germany,2022/6/16,305,0
Germany,2022/6/17,338,0
Germany,2022/6/18,338,0
Germany,2022/6/19,338,0
Germany,2022/6/20,412,0
Germany,2022/6/21,469,0
Germany,2022/6/22,521,0
Germany,2022/6/23,592,0
Germany,2022/6/24,676,0
Germany,2022/6/25,676,0
Germany,2022/6/26,676,0
Germany,2022/6/27,765,0
Germany,2022/6/28,838,0
Germany,2022/6/29,874,0
Germany,2022/6/30,969,0
Germany,2022/7/1,1054,0
Germany,2022/7/2,1054,0
Germany,2022/7/3,1054,0
Germany,2022/7/4,1141,0
Germany,2022/7/5,1242,0
Germany,2022/7/6,1304,0
Germany,2022/7/7,1385,0
Germany,2022/7/8,1385,0
Germany,2022/7/9,1385,0
Germany,2022/7/10,1490,0
Germany,2022/7/11,1556,0
Germany,2022/7/12,1636,0
Germany,2022/7/13,1694,0
Germany,2022/7/14,1694,0
Germany,2022/7/15,1790,0
Germany,2022/7/16,1790,0
Germany,2022/7/17,1790,0
Germany,2022/7/18,1859,0
Germany,2022/7/19,2033,0
Germany,2022/7/20,2110,0
Germany,2022/7/21,2191,0
Germany,2022/7/22,2268,0
Germany,2022/7/23,2268,0
Germany,2022/7/24,2268,0
Germany,2022/7/25,2352,0
Germany,2022/7/26,2410,0
Germany,2022/7/27,2459,0
Germany,2022/7/28,2540,0
Germany,2022/7/29,2595,0
Germany,2022/7/30,2595,0
Germany,2022/7/31,2595,0
Germany,2022/8/1,2677,0
Germany,2022/8/2,2724,0
Germany,2022/8/3,2724,0
Germany,2022/8/4,2839,0
Germany,2022/8/5,2887,0
Germany,2022/8/6,2887,0
Germany,2022/8/7,2887,0
Germany,2022/8/8,2887,0
Germany,2022/8/9,2982,0
Germany,2022/8/10,3025,0
Germany,2022/8/11,3025,0
Germany,2022/8/12,3102,0
Germany,2022/8/13,3102,0
Germany,2022/8/14,3102,0
Germany,2022/8/15,3102,0
Germany,2022/8/16,3187,0
Germany,2022/8/17,3187,0
Germany,2022/8/18,3242,0
Germany,2022/8/19,3266,0
Germany,2022/8/20,3266,0
Germany,2022/8/21,3266,0
Germany,2022/8/22,3295,0
Germany,2022/8/23,3329,0
Germany,2022/8/24,3350,0
Germany,2022/8/25,3387,0
Germany,2022/8/26,3405,0
Germany,2022/8/27,3405,0
Germany,2022/8/28,3405,0
Germany,2022/8/29,3422,0
Germany,2022/8/30,3455,0
Germany,2022/8/31,3467,0
Germany,2022/9/1,3480,0
Germany,2022/9/2,3480,0
Germany,2022/9/3,3480,0
Germany,2022/9/4,3493,0
Germany,2022/9/5,3493,0
Germany,2022/9/6,3505,0
Germany,2022/9/7,3511,0
Germany,2022/9/8,3518,0
Germany,2022/9/9,3518,0
Germany,2022/9/10,3518,0
Germany,2022/9/11,3530,0
Germany,2022/9/12,3530,0
Germany,2022/9/13,3547,0
Germany,2022/9/14,3548,0
Germany,2022/9/15,3548,0
Germany,2022/9/16,3556,0
Germany,2022/9/17,3556,0
Germany,2022/9/18,3556,0
Germany,2022/9/19,3563,0
Germany,2022/9/20,3570,0
Germany,2022/9/21,3585,0
Germany,2022/9/22,3590,0
Germany,2022/9/23,3597,0
Germany,2022/9/24,3597,0
Germany,2022/9/25,3597,0
Germany,2022/9/26,3601,0
Germany,2022/9/27,3607,0
Germany,2022/9/28,3615,0
Germany,2022/9/29,3621,0
Germany,2022/9/30,3625,0
Germany,2022/10/1,3625,0
Germany,2022/10/2,3625,0
Germany,2022/10/3,3625,0
Germany,2022/10/4,3631,0
Germany,2022/10/5,3631,0
Germany,2022/10/6,3640,0
Germany,2022/10/7,3645,0
Germany,2022/10/8,3645,0
Germany,2022/10/9,3645,0
Germany,2022/10/10,3645,0
Germany,2022/10/11,3651,0
Germany,2022/10/12,3651,0
Germany,2022/10/13,3651,0
Germany,2022/10/14,3651,0
Germany,2022/10/15,3651,0
Germany,2022/10/16,3651,0
Germany,2022/10/17,3651,0
Germany,2022/10/18,3651,0
Germany,2022/10/19,3656,0
Germany,2022/10/20,3656,0
Germany,2022/10/21,3656,0
Germany,2022/10/22,3656,0
Germany,2022/10/23,3656,0
Germany,2022/10/24,3656,0
Germany,2022/10/25,3662,0
Germany,2022/10/26,3662,0
Germany,2022/10/27,3662,0
Germany,2022/10/28,3662,0
Germany,2022/10/29,3662,0
Germany,2022/10/30,3662,0
Germany,2022/10/31,3662,0
Mexico,2022/6/3,1,0
Mexico,2022/6/4,1,0
Mexico,2022/6/5,1,0
Mexico,2022/6/6,1,0
Mexico,2022/6/7,1,0
Mexico,2022/6/8,1,0
Mexico,2022/6/9,1,0
Mexico,2022/6/10,1,0
Mexico,2022/6/11,1,0
Mexico,2022/6/12,1,0
Mexico,2022/6/13,2,0
Mexico,2022/6/14,2,0
Mexico,2022/6/15,4,0
Mexico,2022/6/16,4,0
Mexico,2022/6/17,6,0
Mexico,2022/6/18,9,0
Mexico,2022/6/19,10,0
Mexico,2022/6/20,11,0
Mexico,2022/6/21,11,0
Mexico,2022/6/22,11,0
Mexico,2022/6/23,11,0
Mexico,2022/6/24,11,0
Mexico,2022/6/25,11,0
Mexico,2022/6/26,11,0
Mexico,2022/6/27,15,0
Mexico,2022/6/28,15,0
Mexico,2022/6/29,15,0
Mexico,2022/6/30,15,0
Mexico,2022/7/1,15,0
Mexico,2022/7/2,23,0
Mexico,2022/7/3,27,0
Mexico,2022/7/4,27,0
Mexico,2022/7/5,27,0
Mexico,2022/7/6,27,0
Mexico,2022/7/7,27,0
Mexico,2022/7/8,27,0
Mexico,2022/7/9,30,0
Mexico,2022/7/10,30,0
Mexico,2022/7/11,35,0
Mexico,2022/7/12,35,0
Mexico,2022/7/13,35,0
Mexico,2022/7/14,35,0
Mexico,2022/7/15,39,0
Mexico,2022/7/16,40,0
Mexico,2022/7/17,42,0
Mexico,2022/7/18,48,0
Mexico,2022/7/19,48,0
Mexico,2022/7/20,48,0
Mexico,2022/7/21,48,0
Mexico,2022/7/22,52,0
Mexico,2022/7/23,54,0
Mexico,2022/7/24,59,0
Mexico,2022/7/25,59,0
Mexico,2022/7/26,59,0
Mexico,2022/7/27,59,0
Mexico,2022/7/28,59,0
Mexico,2022/7/29,59,0
Mexico,2022/7/30,59,0
Mexico,2022/7/31,59,0
Mexico,2022/8/1,59,0
Mexico,2022/8/2,59,0
Mexico,2022/8/3,90,0
Mexico,2022/8/4,91,0
Mexico,2022/8/5,91,0
Mexico,2022/8/6,91,0
Mexico,2022/8/7,91,0
Mexico,2022/8/8,91,0
Mexico,2022/8/9,91,0
Mexico,2022/8/10,146,0
Mexico,2022/8/11,147,0
Mexico,2022/8/12,147,0
Mexico,2022/8/13,147,0
Mexico,2022/8/14,147,0
Mexico,2022/8/15,147,0
Mexico,2022/8/16,147,0
Mexico,2022/8/17,251,0
Mexico,2022/8/18,252,0
Mexico,2022/8/19,252,0
Mexico,2022/8/20,252,0
Mexico,2022/8/21,252,0
Mexico,2022/8/22,252,0
Mexico,2022/8/23,252,0
Mexico,2022/8/24,385,0
Mexico,2022/8/25,386,0
Mexico,2022/8/26,386,0
Mexico,2022/8/27,386,0
Mexico,2022/8/28,386,0
Mexico,2022/8/29,386,0
Mexico,2022/8/30,386,0
Mexico,2022/8/31,504,0
Mexico,2022/9/1,504,0
Mexico,2022/9/2,504,0
Mexico,2022/9/3,504,0
Mexico,2022/9/4,504,0
Mexico,2022/9/5,504,0
Mexico,2022/9/6,504,0
Mexico,2022/9/7,504,0
Mexico,2022/9/8,788,0
Mexico,2022/9/9,788,0
Mexico,2022/9/10,788,0
Mexico,2022/9/11,788,0
Mexico,2022/9/12,788,0
Mexico,2022/9/13,788,0
Mexico,2022/9/14,788,0
Mexico,2022/9/15,1050,0
Mexico,2022/9/16,1050,0
Mexico,2022/9/17,1050,0
Mexico,2022/9/18,1050,0
Mexico,2022/9/19,1050,0
Mexico,2022/9/20,1051,0
Mexico,2022/9/21,1367,0
Mexico,2022/9/22,1367,0
Mexico,2022/9/23,1367,0
Mexico,2022/9/24,1367,0
Mexico,2022/9/25,1367,0
Mexico,2022/9/26,1367,0
Mexico,2022/9/27,1367,0
Mexico,2022/9/28,1627,0
Mexico,2022/9/29,1627,0
Mexico,2022/9/30,1627,0
Mexico,2022/10/1,1627,0
Mexico,2022/10/2,1627,0
Mexico,2022/10/3,1627,0
Mexico,2022/10/4,1627,0
Mexico,2022/10/5,1968,0
Mexico,2022/10/6,1968,0
Mexico,2022/10/7,1968,0
Mexico,2022/10/8,1968,0
Mexico,2022/10/9,1968,0
Mexico,2022/10/10,1968,0
Mexico,2022/10/11,1968,0
Mexico,2022/10/12,1968,0
Mexico,2022/10/13,2147,0
Mexico,2022/10/14,2147,0
Mexico,2022/10/15,2147,0
Mexico,2022/10/16,2147,0
Mexico,2022/10/17,2147,0
Mexico,2022/10/18,2147,0
